Ano;Código da Área;Área de Avaliação;Código da IES;Nome da IES;Sigla da IES;Organização Acadêmica;Categoria Administrativa;Código do Curso;Modalidade de Ensino;Código do Município;Município do Curso;Sigla da UF;Nº de Concluintes Inscritos;Nº  de Concluintes Participantes;Nota Bruta - FG;Nota Padronizada - FG;Nota Bruta - CE;Nota Padronizada - CE;Conceito Enade (Contínuo);Conceito Enade (Faixa);Observação
2019;5;MEDICINA VETERINÁRIA;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pública Federal;37;Educação Presencial;5103403;Cuiabá;MT;23;20;42.815;27.573;57.8;31.363;30.415;4;
2019;5;MEDICINA VETERINÁRIA;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pública Federal;100763;Educação Presencial;5107909;Sinop;MT;46;39;421.128;2.639;557.282;27.652;27.336;3;
2019;5;MEDICINA VETERINÁRIA;2;UNIVERSIDADE DE BRASÍLIA;UNB;Universidade;Pública Federal;18031;Educação Presencial;5300108;Brasília;DF;129;119;50.605;40.697;590.025;33.516;35.312;4;
2019;5;MEDICINA VETERINÁRIA;3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Universidade;Pública Federal;1108067;Educação Presencial;2806701;São Cristóvão;SE;47;39;457.744;32.559;569.667;2.987;30.542;4;
2019;5;MEDICINA VETERINÁRIA;3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Universidade;Pública Federal;1321453;Educação Presencial;2804508;Nossa Senhora da Glória;SE;28;25;43.54;28.795;51.78;2.058;22.634;3;
2019;5;MEDICINA VETERINÁRIA;5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Universidade;Pública Federal;504;Educação Presencial;2211001;Teresina;PI;64;62;432.355;28.282;545.226;25.492;2.619;3;
2019;5;MEDICINA VETERINÁRIA;5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Universidade;Pública Federal;102675;Educação Presencial;2201903;Bom Jesus;PI;68;65;38.72;20.675;487.369;1.513;16.516;2;
2019;5;MEDICINA VETERINÁRIA;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;Universidade;Pública Federal;695;Educação Presencial;3171303;Viçosa;MG;62;58;609.638;5;671.397;48.091;48.568;5;
2019;5;MEDICINA VETERINÁRIA;9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;Universidade;Pública Estadual;777;Educação Presencial;4113700;Londrina;PR;80;76;521.263;4.326;658.974;45.866;45.214;5;
2019;5;MEDICINA VETERINÁRIA;10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Universidade;Privada sem fins lucrativos;60123;Educação Presencial;4127700;Toledo;PR;34;33;390.909;2.13;513.636;19.834;20.201;3;
2019;5;MEDICINA VETERINÁRIA;10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Universidade;Privada sem fins lucrativos;1268241;Educação Presencial;4106902;Curitiba;PR;79;71;455.239;32.137;551.507;26.617;27.997;3;
2019;5;MEDICINA VETERINÁRIA;13;UNIVERSIDADE DE CAXIAS DO SUL;UCS;Universidade;Privada sem fins lucrativos;1190503;Educação Presencial;4305108;Caxias do Sul;RS;122;120;421.742;26.494;542.117;24.936;25.325;3;
2019;5;MEDICINA VETERINÁRIA;17;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;UFU;Universidade;Pública Federal;1440;Educação Presencial;3170206;Uberlândia;MG;102;93;478.376;36.035;58.029;31.773;32.838;4;
2019;5;MEDICINA VETERINÁRIA;20;UNIVERSIDADE DE PASSO FUNDO;UPF;Universidade;Privada sem fins lucrativos;18484;Educação Presencial;4314100;Passo Fundo;RS;92;88;342.807;13.196;504.284;18.159;16.918;2;
2019;5;MEDICINA VETERINÁRIA;24;UNIVERSIDADE ESTADUAL DE SANTA CRUZ;UESC;Universidade;Pública Estadual;18310;Educação Presencial;2913606;Ilhéus;BA;42;42;49.25;38.414;575.024;3.083;32.726;4;
2019;5;MEDICINA VETERINÁRIA;27;UNIVERSIDADE VALE DO RIO VERDE;UNINCOR;Universidade;Privada sem fins lucrativos;47273;Educação Presencial;3169307;Três Corações;MG;55;54;348.852;14.215;477.444;13.352;13.568;2;
2019;5;MEDICINA VETERINÁRIA;29;UNIVERSIDADE ESTADUAL DO CEARÁ;UECE;Universidade;Pública Estadual;2191;Educação Presencial;2304400;Fortaleza;CE;87;68;502.956;40.175;606.779;36.517;37.432;4;
2019;5;MEDICINA VETERINÁRIA;30;UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO;UNIFENAS;Universidade;Privada sem fins lucrativos;2295;Educação Presencial;3101607;Alfenas;MG;27;25;38.472;20.257;54.56;25.559;24.234;3;
2019;5;MEDICINA VETERINÁRIA;43;FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA;UDESC;Universidade;Pública Estadual;2535;Educação Presencial;4209300;Lages;SC;82;77;482.429;36.717;634.896;41.553;40.344;5;
2019;5;MEDICINA VETERINÁRIA;56;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO;UNESP;Universidade;Pública Estadual;3140;Educação Presencial;3524303;Jaboticabal;SP;52;47;543.787;47.054;639.234;4.233;43.511;5;
2019;5;MEDICINA VETERINÁRIA;56;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO;UNESP;Universidade;Pública Estadual;3176;Educação Presencial;3507506;Botucatu;SP;55;55;609.364;5;682.055;5;5;5;
2019;5;MEDICINA VETERINÁRIA;56;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO;UNESP;Universidade;Pública Estadual;3221;Educação Presencial;3502804;Araçatuba;SP;46;46;475.478;35.547;637.565;42.031;4.041;5;
2019;5;MEDICINA VETERINÁRIA;57;UNIVERSIDADE ESTADUAL DE MARINGÁ;UEM;Universidade;Pública Estadual;58202;Educação Presencial;4128104;Umuarama;PR;33;33;505.061;4.053;574.697;30.771;33.211;4;
2019;5;MEDICINA VETERINÁRIA;76;UNIVERSIDADE REGIONAL DE BLUMENAU;FURB;Universidade;Pública Municipal;90053;Educação Presencial;4202404;Blumenau;SC;62;60;42.045;26.276;553.917;27.049;26.856;3;
2019;5;MEDICINA VETERINÁRIA;82;UNIVERSIDADE DO OESTE DE SANTA CATARINA;UNOESC;Universidade;Privada sem fins lucrativos;60216;Educação Presencial;4219507;Xanxerê;SC;49;48;371.167;17.974;547.521;25.903;23.921;3;
2019;5;MEDICINA VETERINÁRIA;82;UNIVERSIDADE DO OESTE DE SANTA CATARINA;UNOESC;Universidade;Privada sem fins lucrativos;1261815;Educação Presencial;4217204;São Miguel do Oeste;SC;26;26;356.615;15.522;577.769;31.321;27.372;3;
2019;5;MEDICINA VETERINÁRIA;82;UNIVERSIDADE DO OESTE DE SANTA CATARINA;UNOESC;Universidade;Privada sem fins lucrativos;1314144;Educação Presencial;4203600;Campos Novos;SC;41;39;368.385;17.505;479.308;13.686;14.641;2;
2019;5;MEDICINA VETERINÁRIA;138;CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ;CBM;Centro Universitário;Privada sem fins lucrativos;19014;Educação Presencial;3543402;Ribeirão Preto;SP;49;49;370.082;17.791;486.082;14.899;15.622;2;
2019;5;MEDICINA VETERINÁRIA;140;UNIVERSIDADE DE VASSOURAS;;Universidade;Privada sem fins lucrativos;74028;Educação Presencial;3306206;Vassouras;RJ;55;49;381.143;19.654;534.265;23.529;22.561;3;
2019;5;MEDICINA VETERINÁRIA;142;CENTRO UNIVERSITÁRIO DO TRIÂNGULO;UNITRI;Centro Universitário;Privada sem fins lucrativos;1178612;Educação Presencial;3170206;Uberlândia;MG;59;58;340.879;12.871;450.724;0.8566;0.9642;2;
2019;5;MEDICINA VETERINÁRIA;143;UNIVERSIDADE DE UBERABA;UNIUBE;Universidade;Privada sem fins lucrativos;18572;Educação Presencial;3170107;Uberaba;MG;106;103;387.505;20.726;582.233;32.121;29.272;3;
2019;5;MEDICINA VETERINÁRIA;146;CENTRO UNIVERSITÁRIO DE RIO PRETO;UNIRP;Centro Universitário;Privada com fins lucrativos;4679;Educação Presencial;3549805;São José do Rio Preto;SP;159;154;349.286;14.288;48.463;14.639;14.551;2;
2019;5;MEDICINA VETERINÁRIA;150;UNIVERSIDADE DE SOROCABA;UNISO;Universidade;Privada sem fins lucrativos;1169423;Educação Presencial;3552205;Sorocaba;SP;117;112;41.617;25.555;502.045;17.758;19.707;3;
